Property_ID,Locality,Dimension,Plot_Area_sqft,Distance_to_8th_Mile_km,Distance_to_Sapthagiri_College_km,Facing,Road_Width_ft,Approval_Authority,Price_in_Lakhs_INR
BLR_8M_1000,T Dasarahalli,50x80,4000.0,0.23,1.15,West,30.0,BBMP,247.28
BLR_8M_1001,Bagalakunte,30x40,1200.0,1.34,3.19,South,30.0,BBMP,80.27
BLR_8M_1002,Mallasandra,30x40,1200.0,1.16,2.95,West,20.0,BBMP,76.36
BLR_8M_1003,T Dasarahalli,20x30,600.0,3.95,0.41,East,30.0,BBMP,39.45
BLR_8M_1004,Chikkasandra,30x40,,3.82,0.27,East,30.0,BMRDA,66.77
BLR_8M_1005,Chikkasandra,40x60,2400.0,0.85,3.87,West,20.0,BBMP,161.06
BLR_8M_1006,Chikkasandra,20x30,600.0,2.17,0.46,North,60.0,BBMP,47.08
BLR_8M_1007,Mallasandra,30x40,1200.0,2.37,3.39,West,30.0,BMRDA,64.88
BLR_8M_1008,Bagalakunte,40x60,2400.0,3.82,0.94,South,30.0,BMRDA,123.37
BLR_8M_1009,8th Mile Junction,30x40,1200.0,3.67,2.63,East,30.0,BBMP,81.23
BLR_8M_1010,Mallasandra,30x40,1200.0,1.21,4.18,North,30.0,BBMP,77.48
BLR_8M_1011,Sapthagiri College Surrounding,20x30,600.0,4.0,1.2,West,30.0,BBMP,39.71
BLR_8M_1012,Bagalakunte,40x60,2400.0,2.19,0.59,West,60.0,BMRDA,159.45
BLR_8M_1013,Sapthagiri College Surrounding,20x30,600.0,0.77,1.64,North,30.0,DC Conversion,29.38
BLR_8M_1014,Chikkasandra,30x40,1200.0,0.04,2.55,East,60.0,BBMP,100.99
BLR_8M_1015,T Dasarahalli,30x40,1200.0,1.73,4.48,East,40.0,DC Conversion,61.21
BLR_8M_1016,8th Mile Junction,40x60,2400.0,4.19,4.47,North,30.0,BBMP,173.59
BLR_8M_1017,Bagalakunte,20x30,600.0,0.5,3.41,West,60.0,BMRDA,37.93
BLR_8M_1018,T Dasarahalli,30x40,1200.0,1.05,0.14,West,30.0,DC Conversion,58.78
BLR_8M_1019,Mallasandra,40x60,2400.0,1.8,3.88,East,30.0,BDA,171.91
BLR_8M_1020,T Dasarahalli,40x60,2400.0,3.9,4.23,North,30.0,DC Conversion,113.94
BLR_8M_1021,T Dasarahalli,40x60,2400.0,1.3,2.94,East,40.0,BBMP,176.29
BLR_8M_1022,8th Mile Junction,20x30,600.0,0.13,2.69,West,30.0,BBMP,41.83
BLR_8M_1023,8th Mile Junction,20x30,600.0,3.23,0.34,East,30.0,DC Conversion,31.56
BLR_8M_1024,Bagalakunte,30x40,1200.0,4.31,1.07,North,30.0,DC Conversion,58.52
BLR_8M_1025,8th Mile Junction,30x40,1200.0,0.27,1.04,South,30.0,DC Conversion,50.96
BLR_8M_1026,Chikkasandra,40x60,2400.0,3.7,0.49,North,40.0,DC Conversion,136.33
BLR_8M_1027,T Dasarahalli,40x60,2400.0,3.53,2.32,West,40.0,DC Conversion,113.62
BLR_8M_1028,Bagalakunte,50x80,,2.52,2.49,East,20.0,BDA,288.21
BLR_8M_1029,Mallasandra,50x80,4000.0,4.09,4.21,West,30.0,BBMP,279.58
BLR_8M_1030,Mallasandra,30x40,1200.0,2.67,2.32,North,30.0,BBMP,88.84
BLR_8M_1031,Chikkasandra,50x80,,4.16,0.93,North,30.0,BMRDA,213.65
BLR_8M_1032,8th Mile Junction,30x40,1200.0,2.93,2.49,North,40.0,BBMP,84.89
BLR_8M_1033,Bagalakunte,30x40,1200.0,3.71,1.0,West,30.0,BDA,83.53
BLR_8M_1034,T Dasarahalli,50x80,4000.0,1.59,4.19,East,60.0,BDA,321.9
BLR_8M_1035,Sapthagiri College Surrounding,20x30,600.0,2.25,4.12,West,20.0,BBMP,40.5
BLR_8M_1036,Mallasandra,30x40,1200.0,1.23,2.54,South,40.0,BBMP,75.42
BLR_8M_1037,Sapthagiri College Surrounding,30x40,1200.0,4.29,4.5,East,30.0,BMRDA,66.32
BLR_8M_1038,8th Mile Junction,20x30,600.0,4.02,0.52,South,40.0,BBMP,38.61
BLR_8M_1039,Bagalakunte,40x60,2400.0,4.38,3.4,South,60.0,BMRDA,134.6
BLR_8M_1040,8th Mile Junction,30x40,1200.0,2.31,3.59,West,30.0,DC Conversion,53.98
BLR_8M_1041,Bagalakunte,20x30,600.0,2.95,1.48,West,40.0,BMRDA,35.73
BLR_8M_1042,8th Mile Junction,40x60,2400.0,1.74,3.83,South,40.0,DC Conversion,122.83
BLR_8M_1043,Chikkasandra,20x30,600.0,0.6,4.12,West,30.0,BBMP,36.48
BLR_8M_1044,T Dasarahalli,40x60,2400.0,4.2,0.97,West,40.0,BMRDA,151.52
BLR_8M_1045,T Dasarahalli,20x30,600.0,2.68,1.24,East,20.0,BMRDA,32.61
BLR_8M_1046,Bagalakunte,40x60,2400.0,1.95,0.31,North,30.0,BBMP,175.39
BLR_8M_1047,8th Mile Junction,20x30,600.0,4.07,4.4,North,20.0,BMRDA,31.92
BLR_8M_1048,Mallasandra,20x30,600.0,0.97,1.13,North,20.0,BMRDA,35.09
BLR_8M_1049,Mallasandra,20x30,600.0,3.61,1.66,South,30.0,DC Conversion,28.06
BLR_8M_1050,Mallasandra,50x80,4000.0,2.77,1.53,East,30.0,BBMP,267.32
BLR_8M_1051,Chikkasandra,20x30,600.0,4.08,0.41,North,30.0,BDA,42.58
BLR_8M_1052,8th Mile Junction,40x60,2400.0,1.23,4.11,East,30.0,BDA,169.06
BLR_8M_1053,Bagalakunte,30x40,1200.0,1.95,4.0,East,60.0,BBMP,88.97
BLR_8M_1054,Sapthagiri College Surrounding,30x40,1200.0,2.69,1.71,East,20.0,BMRDA,66.0
BLR_8M_1055,8th Mile Junction,20x30,600.0,4.14,0.85,South,30.0,BDA,41.96
BLR_8M_1056,T Dasarahalli,20x30,600.0,2.26,2.79,East,30.0,DC Conversion,29.35
BLR_8M_1057,8th Mile Junction,20x30,600.0,3.56,3.37,East,20.0,BDA,42.22
BLR_8M_1058,Mallasandra,30x40,1200.0,2.82,3.35,East,30.0,DC Conversion,56.94
BLR_8M_1059,8th Mile Junction,20x30,600.0,1.17,1.28,East,30.0,BMRDA,36.47
BLR_8M_1060,Sapthagiri College Surrounding,40x60,2400.0,2.9,1.78,North,40.0,DC Conversion,119.3
BLR_8M_1061,8th Mile Junction,30x40,1200.0,2.25,3.61,East,30.0,BBMP,83.27
BLR_8M_1062,8th Mile Junction,20x30,600.0,2.99,1.39,South,30.0,BBMP,38.78
BLR_8M_1063,Bagalakunte,30x40,1200.0,2.34,0.59,South,20.0,BDA,72.42
BLR_8M_1064,Mallasandra,50x80,4000.0,1.04,3.17,West,40.0,DC Conversion,216.74
BLR_8M_1065,T Dasarahalli,40x60,2400.0,3.27,4.19,West,30.0,BBMP,157.13
BLR_8M_1066,8th Mile Junction,50x80,4000.0,3.75,0.81,East,20.0,BMRDA,205.46
BLR_8M_1067,T Dasarahalli,30x40,1200.0,2.29,2.61,West,40.0,BBMP,86.14
BLR_8M_1068,T Dasarahalli,40x60,2400.0,1.06,4.43,North,30.0,BBMP,158.94
BLR_8M_1069,Sapthagiri College Surrounding,40x60,2400.0,0.84,3.43,East,40.0,BDA,206.16
BLR_8M_1070,Chikkasandra,20x30,600.0,2.29,1.46,South,30.0,BBMP,35.74
BLR_8M_1071,T Dasarahalli,20x30,600.0,1.7,1.69,South,30.0,BBMP,38.58
BLR_8M_1072,Mallasandra,30x40,1200.0,3.61,4.13,North,30.0,BDA,91.39
BLR_8M_1073,Bagalakunte,30x40,1200.0,3.28,2.1,West,30.0,BBMP,78.88
BLR_8M_1074,8th Mile Junction,30x40,1200.0,1.11,3.05,East,20.0,DC Conversion,53.36
BLR_8M_1075,Chikkasandra,20x30,600.0,0.52,1.54,East,,BBMP,42.73
BLR_8M_1076,Mallasandra,20x30,600.0,0.93,0.79,West,30.0,BMRDA,33.21
BLR_8M_1077,8th Mile Junction,30x40,1200.0,3.78,3.89,East,60.0,BBMP,94.07
BLR_8M_1078,8th Mile Junction,30x40,1200.0,2.61,3.88,East,30.0,DC Conversion,61.58
BLR_8M_1079,Chikkasandra,40x60,2400.0,2.6,3.72,South,30.0,DC Conversion,99.93
BLR_8M_1080,8th Mile Junction,30x40,1200.0,0.88,2.95,East,30.0,DC Conversion,60.72
BLR_8M_1081,8th Mile Junction,20x30,600.0,1.25,0.66,West,30.0,DC Conversion,29.52
BLR_8M_1082,8th Mile Junction,50x80,,2.32,3.32,South,30.0,BDA,280.7
BLR_8M_1083,Mallasandra,50x80,4000.0,2.7,0.01,East,40.0,BMRDA,243.93
BLR_8M_1084,Chikkasandra,30x40,1200.0,3.37,2.35,South,40.0,BBMP,80.06
BLR_8M_1085,Bagalakunte,30x40,1200.0,2.6,0.9,East,60.0,BDA,99.22
BLR_8M_1086,T Dasarahalli,30x40,1200.0,2.28,1.45,East,40.0,BBMP,86.52
